epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.884505808,0.957391739,1.00E-05,0.255988389,0.92970854,0.831908822,0.873760164,0.944546461,0.283040971,0.908722103,0.825046062
1,0.889984667,0.960309446,1.00E-05,0.249115735,0.925005972,0.848783672,0.874661863,0.945184171,0.283590078,0.905622482,0.830570877
2,0.895353913,0.962960064,1.00E-05,0.240715384,0.933445454,0.851413548,0.871956706,0.945016563,0.283225298,0.906693697,0.823204398
3,0.90006572,0.964534998,1.00E-05,0.236113891,0.933096111,0.861932933,0.873760164,0.945520937,0.282138824,0.91038698,0.823204398
4,0.90247643,0.967174292,1.00E-05,0.228269666,0.937574446,0.862371266,0.875563562,0.945745468,0.280596048,0.912423611,0.825046062
5,0.905106306,0.968932986,1.00E-05,0.223562613,0.937514782,0.868069232,0.872858405,0.945940554,0.282907039,0.903614461,0.828729272
6,0.908831894,0.970862389,1.00E-05,0.218338966,0.937602639,0.8759588,0.873760164,0.94553715,0.285755008,0.90059644,0.834254146
7,0.912995815,0.97316885,1.00E-05,0.210270509,0.941645205,0.880561054,0.875563562,0.944893003,0.29003796,0.896281779,0.843462229
8,0.9142012,0.974227071,5.00E-06,0.205745295,0.940354168,0.884505808,0.873760164,0.945089817,0.288576633,0.902195632,0.832412541
9,0.919241726,0.975184977,5.00E-06,0.203041911,0.944470286,0.890861273,0.871956706,0.945696712,0.288662672,0.895463526,0.83609575
10,0.91935128,0.976841807,5.00E-06,0.198148474,0.94365871,0.891957045,0.871956706,0.945691645,0.289688081,0.892367899,0.839779019
11,0.920447052,0.977265179,2.50E-06,0.196062908,0.942969263,0.895025194,0.871956706,0.945354998,0.289826602,0.897029698,0.834254146
12,0.917598069,0.9768942,2.50E-06,0.198079646,0.941190064,0.890861273,0.872858405,0.945662439,0.2883026,0.897233188,0.83609575
